code_union,code_union_app,year,ind_union,ind_union_eng,name_union,app_code_name_eng,quantity,sales.m,quantity_t,sales_b,unitval_m,q_indagg,pq_indagg,q_indagg_loo,pq_indagg_loo,p_indagg_loo
11,110,1979,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,3,15,0.003,0.015,5,9002,15354.395,8999,15339.395,1.7045666185131683
11,110,1980,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,1,8,0.001,0.008,8,9704,20294.804,9703,20286.804,2.090776460888385
11,110,1981,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,1,6,0.001,0.006,6,9810,23869.861,9809,23863.861,2.4328536038332147
11,110,1982,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,31,129.85,0.031,0.12985,4.188709677419355,9138,27462.097,9107,27332.247000000003,3.001234984078182
11,110,1983,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,12,165.56,0.012,0.16556,13.796666666666667,11653,32389.708,11641,32224.147999999997,2.768159780087621
11,110,1984,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,37,136.7,0.037,0.1367,3.6945945945945944,13165,37236.078,13128,37099.378000000004,2.8259733394271787
11,110,1985,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,59,527.91,0.059,0.52791,8.947627118644068,14893,47352.598,14834,46824.687999999995,3.1565786706215446
11,110,1986,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,27,448,0.027,0.448,16.59259259259259,14025,46733,13998,46285,3.3065437919702814
11,110,1987,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,7,79,0.007,0.079,11.285714285714286,14466,46291,14459,46212,3.1960716508748876
11,110,1988,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,20,234,0.02,0.234,11.700000000000001,18904,60118,18884,59884,3.1711501800466
11,110,1989,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,158,1729,0.158,1.729,10.943037974683545,22416,79652,22258,77923,3.50089855332914
11,110,1990,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,198,1694,0.198,1.694,8.555555555555555,24288,100664,24090,98970,4.108343711083437
11,110,1991,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,186,1878,0.186,1.878,10.096774193548386,25338,114472,25152,112594,4.47654262086514
11,110,1992,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,146,1978,0.146,1.978,13.547945205479452,18690,94152,18544,92174,4.970556514236411
11,110,1993,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,57,667,0.057,0.667,11.701754385964913,17090,84323,17033,83656,4.911407268243997
11,110,1994,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,86,716,0.086,0.716,8.325581395348838,17441,75068,17355,74352,4.284183232497839
11,110,1995,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,86,1073,0.086,1.073,12.476744186046512,21032,82706,20946,81633,3.8973073617874534
11,110,1996,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,146,2080,0.146,2.08,14.246575342465755,20561,88418,20415,86338,4.229145236345824
11,110,1997,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,195,2966,0.195,2.966,15.210256410256411,24791,102212,24596,99246,4.035046348999837
11,110,1998,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,170,2851,0.17,2.851,16.770588235294117,19685,82620,19515,79769,4.08757366128619
11,110,1999,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,113,1863,0.113,1.863,16.486725663716815,22106,87234,21993,85371,3.8817350975310325
11,110,2000,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,90,1333,0.09,1.333,14.811111111111112,27585,88627,27495,87294,3.1749045280960173
11,110,2001,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,127,1600,0.127,1.6,12.598425196850394,14926,72665,14799,71065,4.802013649570917
11,110,2002,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,112,1473,0.112,1.473,13.151785714285715,18342,67711,18230,66238,3.633461327482172
11,110,2003,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,97,1113,0.097,1.113,11.474226804123711,24869,81706,24772,80593,3.2533909252381723
11,110,2004,パルプ・紙・紙製品・印刷・出版業,"Pulp, paper, printing, publishing",Handling operations/Machine tending,110_Handling operations/Machine tending,129,1594,0.129,1.594,12.356589147286822,26761,76711,26632,75117,2.8205542204866325
