year,code_union_type,code_union,variable,value
1982,A,4-3,quantity,99
1982,A,4-3,sales.m,79.446
1982,A,4-4,quantity,25
1982,A,4-4,sales.m,26.539
1982,A,5,quantity,63
1982,A,5,sales.m,86.212
1982,A,6,quantity,67
1982,A,6,sales.m,69.78
1982,A,7-1,quantity,0
1982,A,7-1,sales.m,0
1982,A,7-3,quantity,110
1982,A,7-3,sales.m,165
1982,A,7-8,quantity,38
1982,A,7-8,sales.m,53
1982,A,8,quantity,16
1982,A,8,sales.m,17.9
1982,A,export,quantity,212
1982,A,export,sales.m,341.576
1983,A,1,quantity,161
1983,A,1,sales.m,960.056
1983,A,11,quantity,2
1983,A,11,sales.m,3.64
1983,A,12,quantity,70
1983,A,12,sales.m,218.304
1983,A,15,quantity,20
1983,A,15,sales.m,35.92
1983,A,16,quantity,62
1983,A,16,sales.m,184.12
1983,A,17,quantity,83
1983,A,17,sales.m,151.4
1983,A,2,quantity,15
1983,A,2,sales.m,181.63
1983,A,3,quantity,53
1983,A,3,sales.m,121.464
1983,A,4-2,quantity,10
1983,A,4-2,sales.m,19
1983,A,4-3,quantity,4
1983,A,4-3,sales.m,20
1983,A,4-4,quantity,77
1983,A,4-4,sales.m,482.477
1983,A,5,quantity,53
1983,A,5,sales.m,103.03
1983,A,6,quantity,10
1983,A,6,sales.m,17.88
1983,A,7-1,quantity,0
1983,A,7-1,sales.m,0
1983,A,7-3,quantity,113
1983,A,7-3,sales.m,195.56
1983,A,7-8,quantity,0
1983,A,7-8,sales.m,0
1983,A,8,quantity,21
1983,A,8,sales.m,64.17
1983,A,export,quantity,224
1983,A,export,sales.m,682.84
1984,A,1,quantity,86
1984,A,1,sales.m,330.278
1984,A,11,quantity,28
1984,A,11,sales.m,36.3
1984,A,12,quantity,45
1984,A,12,sales.m,122.668
1984,A,15,quantity,6
1984,A,15,sales.m,10.8
1984,A,16,quantity,52
1984,A,16,sales.m,177.231
1984,A,17,quantity,107
1984,A,17,sales.m,262.888
1984,A,2,quantity,34
1984,A,2,sales.m,79.4
1984,A,3,quantity,21
1984,A,3,sales.m,56.5
1984,A,4-2,quantity,0
1984,A,4-2,sales.m,0
1984,A,4-3,quantity,27
1984,A,4-3,sales.m,64.8
1984,A,4-4,quantity,14
1984,A,4-4,sales.m,43.05
1984,A,5,quantity,18
1984,A,5,sales.m,154.89
1984,A,6,quantity,29
1984,A,6,sales.m,359.7
1984,A,7-1,quantity,18
1984,A,7-1,sales.m,442
1984,A,7-3,quantity,194
1984,A,7-3,sales.m,349.25
1984,A,7-8,quantity,13
1984,A,7-8,sales.m,26.05
1984,A,8,quantity,25
1984,A,8,sales.m,47
1984,A,export,quantity,279
1984,A,export,sales.m,463.1
1985,A,1,quantity,41
1985,A,1,sales.m,230.791
1985,A,11,quantity,32
1985,A,11,sales.m,56.4
1985,A,12,quantity,26
1985,A,12,sales.m,97.2
1985,A,15,quantity,6
1985,A,15,sales.m,15
1985,A,16,quantity,66
1985,A,16,sales.m,212.2
1985,A,17,quantity,98
1985,A,17,sales.m,306.2
1985,A,2,quantity,25
1985,A,2,sales.m,54.05
1985,A,3,quantity,60
1985,A,3,sales.m,135.1
1985,A,4-2,quantity,4
1985,A,4-2,sales.m,105
1985,A,4-3,quantity,47
1985,A,4-3,sales.m,71
1985,A,4-4,quantity,18
1985,A,4-4,sales.m,29.4
1985,A,5,quantity,68
1985,A,5,sales.m,153.1
1985,A,6,quantity,44
1985,A,6,sales.m,68
1985,A,7-1,quantity,13
1985,A,7-1,sales.m,300
1985,A,7-3,quantity,223
1985,A,7-3,sales.m,444.1
1985,A,7-8,quantity,0
1985,A,7-8,sales.m,0
1985,A,8,quantity,0
1985,A,8,sales.m,0
1985,A,export,quantity,254
1985,A,export,sales.m,497.726
1986,A,1,quantity,46
1986,A,1,sales.m,352
1986,A,11,quantity,16
1986,A,11,sales.m,26
1986,A,12,quantity,29
1986,A,12,sales.m,115
1986,A,15,quantity,0
1986,A,15,sales.m,0
1986,A,16,quantity,34
1986,A,16,sales.m,186
1986,A,17,quantity,47
1986,A,17,sales.m,208
1986,A,2,quantity,2
1986,A,2,sales.m,31
1986,A,3,quantity,0
1986,A,3,sales.m,0
1986,A,4-2,quantity,0
1986,A,4-2,sales.m,0
1986,A,4-3,quantity,0
1986,A,4-3,sales.m,0
1986,A,4-4,quantity,16
1986,A,4-4,sales.m,26
1986,A,5,quantity,13
1986,A,5,sales.m,21
1986,A,6,quantity,0
1986,A,6,sales.m,0
1986,A,7-1,quantity,3
1986,A,7-1,sales.m,15
1986,A,7-3,quantity,37
1986,A,7-3,sales.m,98
1986,A,7-8,quantity,0
1986,A,7-8,sales.m,0
1986,A,8,quantity,0
1986,A,8,sales.m,0
1986,A,export,quantity,31
1986,A,export,sales.m,329
1987,A,1,quantity,7
1987,A,1,sales.m,31
1987,A,11,quantity,0
1987,A,11,sales.m,0
1987,A,12,quantity,1
1987,A,12,sales.m,22
1987,A,15,quantity,0
1987,A,15,sales.m,0
1987,A,16,quantity,0
1987,A,16,sales.m,0
1987,A,17,quantity,23
1987,A,17,sales.m,96
1987,A,2,quantity,1
1987,A,2,sales.m,7
1987,A,3,quantity,0
