Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1996,1996,1996,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, nes",5,Number of items,,,10711,,0,,314154281,,,0
H1,1997,1997,1997,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, nes",5,Number of items,,,518,,0,,26732440,,,0
H1,1997,1997,1997,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, nes",5,Number of items,,,14420,,0,,409669846,,,0
H1,1998,1998,1998,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, nes",5,Number of items,,,648,,0,,24789019,,,0
H1,1998,1998,1998,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, nes",5,Number of items,,,11846,,0,,255746875,,,0
H1,1999,1999,1999,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, nes",5,Number of items,,,1755,,0,,32813818,,,0
H1,1999,1999,1999,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, nes",5,Number of items,,,18428,,0,,421116793,,,0
H1,2000,2000,2000,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, nes",5,Number of items,,,748,,686262,,28259099,,,6
H1,2000,2000,2000,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, nes",5,Number of items,,,21243,,11293953,,445240670,,,6
H1,2001,2001,2001,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, nes",5,Number of items,,,1071,,831657,,30683198,,,4
H1,2001,2001,2001,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,847950,"Industrial robots, nes",5,Number of items,,,15332,,8578547,,340525098,,,4
