code_union,ind_union_eng,code_union_app,app_code_name_eng,year_5,quantity_sum,sales.m_sum,quantity_t_sum,sales_b_sum,q_indagg_sum,pq_indagg_sum,q_indagg_loo_sum,pq_indagg_loo_sum,quantity_mean,sales.m_mean,quantity_t_mean,sales_b_mean,q_indagg_mean,pq_indagg_mean,q_indagg_loo_mean,pq_indagg_loo_mean,unitval_m,p_indagg_loo
11,"Pulp, paper, printing, publishing",190,190_Processing,1997,22,368,0.022,0.368,22040,123125,22018,122757,4.4,73.6,0.0044,0.0736,4408,24625,4403.6,24551.4,16.727272727272727,5.5753020256154056
11,"Pulp, paper, printing, publishing",190,190_Processing,2002,19,308,0.019,0.308,20765,105447,20746,105139,3.8,61.6,0.0038,0.0616,4153,21089.4,4149.2,21027.8,16.210526315789473,5.067916706835052
11,"Pulp, paper, printing, publishing",190,190_Processing,2007,6,46,0.006,0.046,25807,133575,25801,133529,1.2,9.2,0.0012000000000000001,0.0092,5161.4,26715,5160.2,26705.8,7.666666666666667,5.175342041006163
11,"Pulp, paper, printing, publishing",190,190_Processing,2012,3,8,0.003,0.008,20350,79065,20347,79057,0.6,1.6,6.000000000000001e-4,0.0016,4070,15813,4069.4,15811.4,2.6666666666666665,3.8854376566570012
11,"Pulp, paper, printing, publishing",190,190_Processing,2017,6,254,0.006,0.254,41741,109239,41735,108985,1.2,50.8,0.0012000000000000001,0.0508,8348.2,21847.8,8347,21797,42.333333333333336,2.611357373906793
11,"Pulp, paper, printing, publishing",200,200_Assembling and disassembling,1982,0,0,0,0,13953,109833.246,13953,109833.246,0,0,0,0,2790.6,21966.6492,2790.6,21966.6492,NaN,7.871658138034831
11,"Pulp, paper, printing, publishing",200,200_Assembling and disassembling,1987,17,186,0.017,0.186,68253,603480.808,68236,603294.808,3.4,37.2,0.0034000000000000002,0.0372,13650.6,120696.16159999999,13647.2,120658.9616,10.941176470588236,8.841297965883111
11,"Pulp, paper, printing, publishing",200,200_Assembling and disassembling,1992,12,60,0.012,0.06,122497,1128511,122485,1128451,2.4,12,0.0024000000000000002,0.012,24499.4,225702.2,24497,225690.2,5,9.212973017104135
11,"Pulp, paper, printing, publishing",200,200_Assembling and disassembling,1997,19,68,0.019,0.068,127651,1337837,127632,1337769,3.8,13.6,0.0038,0.0136,25530.2,267567.4,25526.4,267553.8,3.5789473684210527,10.481454494170741
11,"Pulp, paper, printing, publishing",200,200_Assembling and disassembling,2002,11,72,0.011,0.07200000000000001,108555,1333219,108544,1333147,2.2,14.4,0.0022,0.0144,21711,266643.8,21708.8,266629.4,6.545454545454546,12.282088369693396
11,"Pulp, paper, printing, publishing",200,200_Assembling and disassembling,2007,0,0,0,0,135949,1585492,135949,1585492,0,0,0,0,27189.8,317098.4,27189.8,317098.4,NaN,11.662402812819513
11,"Pulp, paper, printing, publishing",200,200_Assembling and disassembling,2012,2,6,0.002,0.006,132376,1250393,132374,1250387,0.4,1.2,4e-4,0.0012000000000000001,26475.2,250078.6,26474.8,250077.4,3,9.445865502288969
11,"Pulp, paper, printing, publishing",200,200_Assembling and disassembling,2017,4,16,0.004,0.016,209093,1256977,209089,1256961,0.8,3.2,8e-4,0.0031999999999999997,41818.6,251395.4,41817.8,251392.2,4,6.011607497285845
11,"Pulp, paper, printing, publishing",900,900_Others,1982,14,97.85,0.014,0.09784999999999999,6092,28067.404,6078,27969.553999999996,2.8,19.57,0.0028,0.019569999999999997,1218.4,5613.480799999999,1215.6,5593.9108,6.989285714285714,4.601769332017111
11,"Pulp, paper, printing, publishing",900,900_Others,1987,119,1040.994,0.119,1.040994,12263,86981.85399999999,12144,85940.86,23.8,208.1988,0.023799999999999998,0.2081988,2452.6,17396.3708,2428.8,17188.172,8.747848739495797,7.076816534914361
11,"Pulp, paper, printing, publishing",900,900_Others,1992,21,66,0.020999999999999998,0.066,6828,75547,6807,75481,4.2,13.2,0.0042,0.0132,1365.6,15109.4,1361.4,15096.2,3.142857142857143,11.088732187454092
11,"Pulp, paper, printing, publishing",900,900_Others,1997,8,70,0.008,0.07,7130,37307,7122,37237,1.6,14,0.0016,0.014,1426,7461.4,1424.4,7447.4,8.75,5.228447065431059
11,"Pulp, paper, printing, publishing",900,900_Others,2002,73,143,0.073,0.14300000000000002,24189,183979,24116,183836,14.6,28.6,0.0146,0.0286,4837.8,36795.8,4823.2,36767.2,1.9589041095890412,7.622988887045945
11,"Pulp, paper, printing, publishing",900,900_Others,2007,269,241,0.269,0.241,67653,466607,67384,466366,53.8,48.2,0.0538,0.0482,13530.6,93321.4,13476.8,93273.2,0.895910780669145,6.921019826665083
11,"Pulp, paper, printing, publishing",900,900_Others,2012,68,59,0.068,0.059,51223,416412,51155,416353,13.6,11.8,0.0136,0.0118,10244.6,83282.4,10231,83270.6,0.8676470588235294,8.13904799139869
11,"Pulp, paper, printing, publishing",900,900_Others,2017,9,41,0.009000000000000001,0.041,102377,629010,102368,628969,1.8,8.2,0.0018,0.0082,20475.4,125802,20473.6,125793.8,4.555555555555555,6.144195451703657
11,"Pulp, paper, printing, publishing",NA,TOTAL,1982,50,256.7,0.049999999999999996,0.2567,87491,385029.962,87441,384773.262,10,51.339999999999996,0.01,0.05134,17498.2,77005.9924,17488.2,76954.65239999999,5.1339999999999995,4.400375819123752
11,"Pulp, paper, printing, publishing",NA,TOTAL,1987,279,2601.1639999999998,0.279,2.601164,203446,1282571.7110000001,203167,1279970.547,55.8,520.2328,0.0558,0.5202327999999999,40689.2,256514.3422,40633.4,255994.1094,9.32316845878136,6.300090797225928
11,"Pulp, paper, printing, publishing",NA,TOTAL,1992,753,7699,0.753,7.699,341385,2390500,340632,2382801,150.6,1539.8,0.1506,1.5398,68277,478100,68126.4,476560.2,10.224435590969456,6.995235327274008
11,"Pulp, paper, printing, publishing",NA,TOTAL,1997,621,8028,0.621,8.028,326982,2298354,326361,2290326,124.2,1605.6,0.1242,1.6056,65396.4,459670.8,65272.2,458065.2,12.927536231884059,7.017768667212075
