code_union,code_union_app,variable,value,year
12,900,quantity,2,1979
12,900,sales.m,45.99,1979
15,110,quantity,3662,1979
15,110,sales.m,3891.28,1979
15,160,quantity,0,1979
15,160,sales.m,0,1979
15,170,quantity,21,1979
15,170,sales.m,226,1979
15,190,quantity,0,1979
15,190,sales.m,0,1979
15,200,quantity,0,1979
15,200,sales.m,0,1979
15,900,quantity,0,1979
15,900,sales.m,0,1979
16,110,quantity,8,1979
16,110,sales.m,6.38,1979
16,160,quantity,0,1979
16,160,sales.m,0,1979
16,170,quantity,0,1979
16,170,sales.m,0,1979
16,190,quantity,7,1979
16,190,sales.m,30.6,1979
16,200,quantity,0,1979
16,200,sales.m,0,1979
16,900,quantity,22,1979
16,900,sales.m,74.701,1979
17,110,quantity,27,1979
17,110,sales.m,111.165,1979
17,160,quantity,1,1979
17,160,sales.m,15.8,1979
17,170,quantity,4,1979
17,170,sales.m,44,1979
17,190,quantity,4,1979
17,190,sales.m,2,1979
17,200,quantity,2,1979
17,200,sales.m,4,1979
17,900,quantity,367,1979
17,900,sales.m,1239.464,1979
2,110,quantity,366,1979
2,110,sales.m,935.288,1979
2,160,quantity,0,1979
2,160,sales.m,0,1979
2,170,quantity,1,1979
2,170,sales.m,10,1979
2,190,quantity,0,1979
2,190,sales.m,0,1979
2,200,quantity,0,1979
2,200,sales.m,0,1979
2,900,quantity,0,1979
2,900,sales.m,0,1979
27,110,quantity,13,1979
27,110,sales.m,219.8,1979
27,160,quantity,0,1979
27,160,sales.m,0,1979
27,170,quantity,1,1979
27,170,sales.m,10,1979
27,190,quantity,0,1979
27,190,sales.m,0,1979
27,200,quantity,9,1979
27,200,sales.m,8.1,1979
27,900,quantity,22,1979
27,900,sales.m,276.851,1979
3,110,quantity,252,1979
3,110,sales.m,858.972,1979
3,160,quantity,37,1979
3,160,sales.m,404.5,1979
3,170,quantity,1,1979
3,170,sales.m,35,1979
3,190,quantity,148,1979
3,190,sales.m,1541.459,1979
3,200,quantity,0,1979
3,200,sales.m,0,1979
3,900,quantity,70,1979
3,900,sales.m,227.124,1979
4-2,110,quantity,1,1979
4-2,110,sales.m,25,1979
4-2,160,quantity,17,1979
4-2,160,sales.m,257.9,1979
4-2,170,quantity,0,1979
4-2,170,sales.m,0.1,1979
4-2,190,quantity,4,1979
4-2,190,sales.m,25.7,1979
4-2,200,quantity,0,1979
4-2,200,sales.m,0,1979
4-2,900,quantity,0,1979
4-2,900,sales.m,0,1979
4-3,110,quantity,134,1979
4-3,110,sales.m,438.352,1979
4-3,160,quantity,0,1979
4-3,160,sales.m,0,1979
4-3,170,quantity,1,1979
4-3,170,sales.m,27.4,1979
4-3,190,quantity,130,1979
4-3,190,sales.m,430.63,1979
4-3,200,quantity,191,1979
4-3,200,sales.m,100.108,1979
4-3,900,quantity,6,1979
4-3,900,sales.m,17.195,1979
4-4,110,quantity,5,1979
4-4,110,sales.m,150,1979
4-4,160,quantity,7,1979
4-4,160,sales.m,144,1979
4-4,170,quantity,1,1979
4-4,170,sales.m,10,1979
4-4,190,quantity,187,1979
4-4,190,sales.m,321.926,1979
4-4,200,quantity,0,1979
4-4,200,sales.m,0,1979
4-4,900,quantity,9,1979
4-4,900,sales.m,46.076,1979
5,110,quantity,4023,1979
5,110,sales.m,2780.043,1979
5,160,quantity,37,1979
5,160,sales.m,319.733,1979
5,170,quantity,7,1979
5,170,sales.m,154.85,1979
5,190,quantity,42,1979
5,190,sales.m,199.275,1979
5,200,quantity,520,1979
5,200,sales.m,2902.719,1979
5,900,quantity,19,1979
5,900,sales.m,313.871,1979
6,110,quantity,54,1979
6,110,sales.m,178.388,1979
6,160,quantity,0,1979
6,160,sales.m,0,1979
6,170,quantity,4,1979
6,170,sales.m,40,1979
6,190,quantity,57,1979
6,190,sales.m,287.3,1979
6,200,quantity,316,1979
6,200,sales.m,153.08,1979
6,900,quantity,305,1979
6,900,sales.m,596.54,1979
7-1,110,quantity,0,1979
7-1,110,sales.m,0,1979
7-1,160,quantity,1,1979
7-1,160,sales.m,43,1979
7-1,170,quantity,0,1979
7-1,170,sales.m,0,1979
7-1,190,quantity,0,1979
